DrugName,DrugID,PubChemID,Target,Disease,Side_effect,NewDirectTarget,NewIndirectTarget,NewDisease,Evidence,Insilico,Invitro,Invivo,Clinicaltrial,SupportedSentences,PMID
Olaparib,DB09074,23725625,PARP,Ovarian cancer; Pancreatic cancer; Prostate cancer,,,TNF?¡À; IL-1?¡À; IL-1?2; IL-2; IL-4; IL-6; IL-12p40; miR15; miR17; miR181 and miR365; miR146; MIP1?¡À; M-CSF and MIG,Sepsis,Flow cytometry; RT-PCR;,,Flow cytometry; RT-PCR;,,,"Olaparib treatment in the CLP model attenuated the increases in the levels of several circulating mediators in the plasma (e.g. TNF?¡À, IL-1?¡À, IL-1?2, IL-2, IL-4, IL-6, IL-12p40). olaparib treatment attenuated the CLP-induced alterations in miR15, miR17, miR181 and miR365 and levels. For miR146, in the spleen, olaparib attenuated its CLP-induced downregulation, while in the circulating leukocytes, olaparib enhanced its CLP-induced upregulation. Circulating levels of the CLP-induced mediators TNF?¡À, IL-1?¡À, MIP1?¡À, M-CSF and MIG were significantly reduced by olaparib treatment.",31071432
Ponatinib,DB08901,24826799,RET; FLT3; KIT; ABL1; BCR,Acute lymphoblastic leukaemia; Chronic myeloid leukemia,,PD-L1,,Tumor,fluorescence quenching assay; immunofluorescence study,,Fluorescence quenching assay; Immunofluorescence study,,,"Ponatinib showed stable binding with PD-L1, with the highest binding energy among all of the screened FDA-approved drugs. The binding of Ponatinib with PD-L1 was supported by a fluorescence quenching assay and immunofluorescence study. Ponatinib also reduced the expression of PD-L1 in tumors and increased the T-cell population.",36798474
Quinacrine,DB01103,237,PA21B,Malarial,,,Annexin V; LC3B-1; LC3B-2; caspase-3,Malignant Pleural Mesothelioma,flow cytometry; Clonogenic Assay; Scratch Assay; Western blot,,Flow cytometry; Clonogenic assay; Scratch assay; Western blot,,,"As the concentration of QA increased (from 0.39 ??M to 0.78 ??M), levels of Annexin V significantly increased in a concentration dependent manner for both. The aforementioned induction of caspase-3 was evident after QA treatment concentrations. LC3B-1 is downregulated and LC3B-2 is upregulated (24-h treatment) as QA concentration is increased.",32878257
Fluvoxamine,DB00176,3404,Serotonin reuptake,Depression,,,Rheumatic factor; C-reactive proteins; SOD; CAT; TNF-?¡À; PGE2; IL-1?2;,Arthritic,ELISA,,ELISA,,,"Similarly, the high dose of fluvoxamine (50 mg/kg) significantly decreased the level of RF and CRP to level of 12.0?¡À0.707 and 11.40?¡À0.50 respectively. The expression of SOD and CAT in arthritic animals was 30.2?¡À1.06 and 28.0?¡À0.707 respectively. In treatment groups, fluvoxamine (25 and 50 mg/kg orally) restored the expression of SOD, CAT to 36.6?¡À1.2, 37.8?¡À0.8 and 69.8?¡À1.5, 72.0?¡À1.4 respectively. Inhibitory effect of fluvoxamine on gene expression of cytokines (TNF-?¡À, PGE2 and IL-1?2)",36152089
Fludarabine,DB01073,657237,ADA,Chronic lymphocytic leukaemia; Haematological malignancy,,,STAT1,Malignant pleural mesothelioma,Western blot; Immunofluorescence; Flow cytometry,,Western blot; Immunofluorescence; Flow cytometry,,,"We observed that F-araA could repress the expression of STAT1. F-araA could be therapeutically active against MPM cells, in addition to other tumour types, by inhibiting STAT1 expression and nucleic acids synthesis.",33300108
Maxacalcitol,DB06272,6398761,VDR,Psoriasis; Disorder of calcium metabolism,,,Tslp,Influenza vaccine,Immunization; Influenza infection study; ELISA; Flow cytometry; RNA-seq; Quantitative RTa€¡°PCR,,Immunization; ELISA; Flow cytometry; RNA-seq; Quantitative RTa€¡°PCR,Influenza infection study,,Repurposing the psoriasis drug Oxarol to anointment adjuvant for the influenza vaccine,32060507
Nifuroxazide,DB13855,5337997,Bacterial enzymes,Diarrhoea,,,TGF-?21; Stat3,Pulmonary fibrosis,ELISA; hydroxyproline content; H&E and Masson staining; immunohistochemistry (IHC); Western blot,,ELISA; Hydroxyproline content; H&E and masson staining; Immunohistochemistry; Western blot,,,Nifuroxazide ameliorates pulmonary fibrosis by blocking myofibroblast genesis: a drug repurposing study,35172837
Lvermectin,DB00602,,Glutamate-gated chloride channels in parasites,Parasitic infestations,,,IMP?¡À/?21; STAT3,Covid-19,MD simulations; molecular biology experiments,MD simulations,Molecular biology experiments,,,Repositioning Ivermectin for Covid-19 treatment: Molecular mechanisms of action against SARS-CoV-2 replication,34687900
Parbendazole,,26596,Microtubules in parasites,Anthelmintic drug,,Tubulin,,Head and neck squamous cell carcinoma,Cell proliferation/survival assay; Xenograft tumor assay on mice; Xenograft tumor assay on zebrafish; Acute toxicity test; Cell apoptosis assay; Cell cycle assay; Western blot; Cell migration assay; Tubulin polymerization assay; Immunofluorescence assay; qPCR assay,,Cell proliferation assay; Acute toxicity test; Cell apoptosis assay; Cell cycle assay; Western blot; Cell migration assay; Tubulin polymerization assay; Immunofluorescence assay; PT-qPCR,Mouse xenograft; Zebrafish xenograft,,"Our study repositioned an anthelmintic parbendazole to treat HNSCC, which revealed a therapeutic utility and provided a new treatment option for human can_x0002_cers.Our study repositioned an anthelmintic parbendazole to treat HNSCC, which revealed a therapeutic utility and provided a new treatment option for human cancers.",35646536
Ketotifen,DB00920,3827,HRH1,Allergic conjunctivitis,,,IgG,SARS-CoV-2 infection,Cytopathic Effect (CPE) Assay; Yield Reduction Assay; Cytotoxicity Assay,,Cytopathic effect CPE assay; Yield reduction assay; Cytotoxicity assay,,,"In Vitro Assessment of the Antiviral Activity of Ketotifen, Indomethacin and Naproxen, Alone and in Combination, against SARS-CoV-2",33810356
Naproxen,DB00788,156391,PGH2; PGH1,Allergy; Asthma; Osteoarthritis; Pain,,,Vero E6 cells,SARS-CoV-2 infection,Cytopathic Effect (CPE) Assay; Yield Reduction Assay; Cytotoxicity Assay,,Cytopathic effect CPE assay; Yield reduction assay; Cytotoxicity assay,,,"In Vitro Assessment of the Antiviral Activity of Ketotifen, Indomethacin and Naproxen, Alone and in Combination, against SARS-CoV-2",33810356
Indomethacin,DB00328,3715,PGH2,Allergy; Asthma; Rheumatoid arthritis,,,Vero E6 cells,SARS-CoV-2 infection,Cytopathic Effect (CPE) Assay; Yield Reduction Assay; Cytotoxicity Assay,,Cytopathic effect CPE assay; Yield reduction assay; Cytotoxicity assay,,,"In Vitro Assessment of the Antiviral Activity of Ketotifen, Indomethacin and Naproxen, Alone and in Combination, against SARS-CoV-2",33810356
Ponatinib,DB08901,24826799,RET; FLT3; KIT; ABL1; BCR,Chronic myeloid leukemia; Acute lymphoblastic leukaemia,,,ECM-receptor interaction pathway,KIT-mutation-bearing melanomas,Establishment of KIT mutant patient-derived tumor xenografts from melanomas; Generation of patient-derived tumor cells; RNA-Sequencing and analysis; Molecular dynamics simulations,Molecular dynamics simulations,Establishment of KIT mutant patient-derived tumor xenografts from melanomas; Generation of patient-derived tumor cells; RNA-Sequencing,,,"Our study of KIT-mutation-and KITWT-bearing melanomas demonstrates that ponatinib is a far more potent inhibitor than is imatinib for KIT-mutation-bearing melanomas and thus underscores that ponatinib should be given priority consideration for the design of precision treatments for melanoma patients triaged to have KIT mutations. Moreover, our work provides a rationale for undertaking clinical trials to examine the repurposing of ponatinib, which is already approved for use in leukemia, for use in treating a large subset of melanoma patients.",31037149
Niclosamide,DB06803,4477,Mitochondrial oxidative phosphorylation in parasites,Cestodes infection,,,Wnt/?2-catenin 47; AKT/mTOR 48; and EGFR mediated signaling pathways,Hepatocellular Carcinoma???HCC??¡ë,Disease gene expression signatures; Drug gene expression profiles; Matching HCC gene expression and drug gene expression to predict drug hits; Culture of HCC cell lines and primary hepatocytes; Establishment of orthotopic HCC; PDX models and drug treatment,,Disease gene expression signatures; Drug gene expression profiles; Matching HCC gene expression and drug gene expression to predict drug hits; Culture of HCC cell lines and primary hepatocytes,Establishment of orthotopic HCC; PDX models; drug treatment,,"Our computational modeling on open data led to the discovery of NEN as a promising clinical candidate for HCC. By combining computational approaches and in vitro and in vivo validations, we provide confidence for the utility and generalizability of our computational approach to identify potential drug candidates in other diseases.",28284560
Suramin,DB04786,5361,FSHR; HPSE,African trypanosomiasis; African sleeping sickness; African river blindness,,,SARS-CoV-2 3CLpro,SARS-CoV-2,Activity Assay of SARS-CoV-2; 3CLpro luorescence experiments; Docking and Molecular Dynamic Simulations of Suramin and Quinacrine with the SARS-CoV-2 3CLpro Structure,Molecular docking; Molecular dynamic simulations,Activity assay of SARS-CoV-2; 3CLpro luorescence experiments,,,"Using docking and molecular dynamics simulations, we identified a possible binding mode and the amino acids involved in these interactions. Our results suggested that suramin, in combination with quinacrine, showed promising synergistic efficacy to inhibit SARS-CoV-2 3CLpro. We suppose that the identification of effective, synergistic drug combinations could lead to the design of better treatments for the COVID-19 disease and repurposable drug candidates offer fast therapeutic breakthroughs, mainly in a pandemic moment.",34068686
Quinacrine,DB01103,237,PA21B,African sleeping sickness; African river blindness,,,SARS-CoV-2 3CLpro,SARS-CoV-2,Activity Assay of SARS-CoV-2; 3CLpro luorescence experiments; Docking and Molecular Dynamic Simulations of Suramin and Quinacrine with the SARS-CoV-2 3CLpro Structure,Molecular docking; Molecular dynamic simulations,Activity assay of SARS-CoV-2; 3CLpro luorescence experiments,,,"Using docking and molecular dynamics simulations, we identified a possible binding mode and the amino acids involved in these interactions. Our results suggested that suramin, in combination with quinacrine, showed promising synergistic efficacy to inhibit SARS-CoV-2 3CLpro. We suppose that the identification of effective, synergistic drug combinations could lead to the design of better treatments for the COVID-20 disease and repurposable drug candidates offer fast therapeutic breakthroughs, mainly in a pandemic moment.",34068686
Fluoxetine,DB00472,3386,SC6A4,Depression,,PI3K-AKT pathway,,Neuroendocrine prostate cancer,high-throughput drug screening and identified fluoxetine originally an FDA-approved antidepressant as candidate therapeutic agent for NEPC. We carried out both in vitro and in vivo experiments to demonstrate the inhibitory effects of fluoxetine on NEPC models and its mechanism in detail.,Virtual screening,RT-qPCR; Western blot; RNA sequencing,Mouse modeling,,Our results demonstrated that fluoxetine effectively curbed the neuroendocrine differentiation and inhibited cell viability by targeting the AKT pathway. Preclinical test in NEPC mice model (PBCre4: Ptenf/f; Trp53f/f; Rb1f/f) showed that fluoxetine effectively prolonged the overall survival and reduced the risk of tumor distant metastases.,36994207
Miconazole,DB01110,4189,CP51,Fungal infection,,,Genes related to ergosterol biosynthesis and encoding drug efflux pumps,Candida infections,Antibiofilm screening assay; Biofilm checkerboard assay; Fungicidal activity assay; Formulation for vaginitis rat model; Vaginal tissue collection and processing,,Antibiofilm screening assay; Biofilm checkerboard assay; Fungicidal activity assay; Vaginal tissue collection and processing,Mouse modeling,,"In vivo, the MCZ-DB combination had significantly improved activity in a vulvovaginal candidiasis rat model compared to that of single-compound treatments. Data from an artificial evolution experiment indicated that the development of resistance against the combination did not occur, highlighting the potential of MCZ-DB combination therapy to treat Candida biofilm-related infections.",32690639
Domiphen,DB11594,3149,fungal CYP450 14?¡À-lanosterol demethylase,Fungal infection,,,/,Candida infections,Antibiofilm screening assay; Biofilm checkerboard assay; Fungicidal activity assay; Formulation for vaginitis rat model; Vaginal tissue collection and processing,,Antibiofilm screening assay; Biofilm checkerboard assay; Fungicidal activity assay; Vaginal tissue collection and processing,Mouse modeling,,"In vivo, the MCZ-DB combination had significantly improved activity in a vulvovaginal candidiasis rat model compared to that of single-compound treatments. Data from an artificial evolution experiment indicated that the development of resistance against the combination did not occur, highlighting the potential of MCZ-DB combination therapy to treat Candida biofilm-related infections.",32690639
Pyrazolanthrone,DB01782,8515,TTK; MK08; MK09; MK10,Oxidative stress; Neuroinflammation; Brain degeneration,,,c-Jun NH2-terminal kinase,Neuroinflammation Induced by MCAO,in silico docking analysis and molecular dynamics simulation to screen potential candidates from the FDA approved drug library using the standard JNK inhibitor SP600125 as a reference. further examined in ischemic stroke using an animal rodent model of focal cerebral ischemia using transient middle cerebral artery occlusion (t-MCAO).,Molecular docking; Molecular dynamics simulations,,Mouse modeling,,"Our results demonstrated that the novel FDA-approved medications attenuate ischemic stroke-induced neuronal degeneration, possibly by inhibiting JNK3. Being FDA-approved safe medications, the use of these drugs can be clinically translated for ischemic stroke-associated brain degeneration and other neurodegenerative diseases associated with oxidative stress and neuroinflammation.",33384558
Gestrinone,DB11619,27812,ESR1,Endometriosis; Breast cancer,,,of JNK/C-Jun,Gynecological cancers,A nationwide population-based retrospective cohort study; RT-qPCR; Western blot; Flow cytometry,,A nationwide population-based retrospective cohort study; RT-qPCR; Western blot; Flow cytometry,,,"Analyses of both the NHIRD and CSMUH databases revealed that gestrinone may reduce the risk of gynecological cancer. Cellular experiments verified the anticancer effects of gestrinone, which effectively and specifically inhibited the growth of HeLa cervical cancer cells, decreased P21 expression via JNK phosphorylation, and induced apoptosis. Combining the results of clinical database analysis and cell experiments, our findings prove that gestrinone has the potential to protect against cancer through regulation of the JNK-P21 axis.",34921996
Azelastine,DB00972,2267,HRH1,Allergic conjunctivitis,,,entry receptor ACE2,SARS-CoV-2,Western blotting; ACE2h/cell membrane chromatography (ACE2h/CMC); Surface plasmon resonance (SPR) analysis; Molecular docking; Pseudovirus infection assay,Molecular docking,Western blot; ACE2h/cell membrane chromatography (ACE2h/CMC); SPR analysis; Pseudovirus infection assay,,,"We found that the antihistamine azelastine can inhibit the entry of pseudoviruses into cells in vitro in combination with ACE2. Azelastine is expected to become a valuable dual-target clinical candidate drug for inhibiting the virus and alleviating the inflammation of COVID-19. At the same time, azelastine can also be modified as a lead compound to develop more effective anti-SARS-CoV-2 drugs. We hope our work can provide reasonable help for the drug repurposing for COVID-19 treatment.",34052578
Verteporfin,DB00460,5362420,CNV,Macular degeneration; Psoriasis vulgaris,,,NUP107,IDH Mutant Gliomas,High-Throughput FDA Compounds Screening on DMA; MTT Assay; CellTiter-Glo Cell Viability Assay; Soft Agar Anchorage-Independent Growth Assay; Western Blot; Mass Spectrometry Analysis; Immunofluorescence and Microscopy,,High-Throughput FDA compounds screening; MTT assay; CellTiter-Glo cell viability assay; Soft agar anchorage-independent growth assay; Western blot; Mass spectrometry; Immunofluorescence and Microscopy,,,"Futhermore, we investigated the biological mechanism behind the killing effect of VP. Our findings suggest that nucleoporins, rather than YAP1, are the targets of VP, and we identified NUP107 as a predicted upstream regulator for VP response. Furthermore, CGGA data suggests that NUP107 may serve as a molecular marker for VP treatment and correlate with patient survival. Our study also highlights the potential of nucleopore complex (NPC) targeting as a novel pathway for the treatment of IDH1mut gliomas.",37162029
Sulfasalazine,DB00795,5359476,TNF-?¡À,Rheumatoid arthritis; Irritable bowel syndrome,,,Ts from T. cruzi (TcTS),Chagas disease,Clustering and ligand-amino acid contact analysis; In vitro trypanocidal assays,,Clustering and ligand-amino acid contact analysis; Trypanocidal assays,,,The anti-inflammatory sulfasalazine showed moderate (37.6%) trans-sialidase inhibition. Sulfasalazine reduced 61% of parasitemia at 6 h during an in vivo assay.,28364659
Manidipine,DB09238,4008,CYSP,Hypertension,,,UL54 promoter,Human cytomegalovirus (HCMV) infections,Plaque reduction assays; Cytotoxicity assays; Quantitative real-time PCR; Western blot; Cell transfections and adenoviral transductions,,Plaque reduction assays; Cytotoxicity assays; RT-qPCR; Western blot; Cell transfections; Adenoviral transductions,,,"We explored the potential to repurpose manidipine dihydrochloride (MND), a calcium antagonist clinically approved to treat hypertension, as a new anti-HCMV agent. MND emerged in a previous drug repurposing screen to find early inhibitors of HCMV replication, and now we confirm that it inhibits in the low micromolar range the replication of different HCMV strains, including clinical isolates and viruses resistant to approved DNA polymerase inhibitors. The antiviral activity of MND is specific for HCMV over different both DNA and RNA viruses.",29274844
Diiodohydroxyquinoline,DB09115,3728,cytochrome b,fungal infection; Parasitic infection,,,p53; NQO1,Cancer,Annexin V-FITC/propidium iodide analysis of apoptosis; Molecular docking study on NQO-1; Molecular dynamics studies,Molecular docking; Molecular dynamics simulations,Annexin V-FITC/propidium iodide analysis of apoptosis,,,"In this work, we provided a framework for the successful repurposing of the old anti-parasitic iodoquinol into effective anti-tumor agents. This was intuitively designed by incorporating previously reported anti-cancer pharmacophores into the main scaffold of iodoquinol/clioquinol and synthetically achieved by subjecting iodoquinol to oxidationfollowed by reaction with appropriate amines.",34091287
Acenocoumarol,DB01418,54676537,VKOR1,Thrombosis,,,NF-?oB,"Chronic inflammatory diseases (e.g., atopic dermatitis and psoriasis)",MTT Assay; Measurement of NO Production; Measurement of PGE2 and Cytokines; Western Blot,,MTT assay; Measurement of NO production; Measurement of PGE2 and cytokines; Western blot,,,"Considering these results, acenocoumarol can be considered as a possible candidate for repurposing as an anti-inflammatory agent. However, further studies are needed to fully understand the role of cellular signaling pathways other than the MAPK and NF-?oB pathways, which may be involved in the anti-inflammatory activity of acenocoumarol.",36903321
Montelukast,DB00471,5281040,CLTR1,Allergic rhinitis; Exercise-induced bronchospasm; Asthma,,,spike/ACE-2),SARS-CoV-2,Molecular modeling studies; Noncovalent docking; MD simulations and MM/GBSA analyses; The 3CL Protease enzyme inhibition assay; The 3CL Protease enzyme inhibition assay; Virus neutralization assay using xCELLigence MP RTCA,Molecular docking; Molecular modeling; MD simulations;,The 3CL Protease enzyme inhibition assay; The 3CL Protease enzyme inhibition assay; Virus neutralization assay,,,"Our results show that montelukast has a dual inhibitor effect and exerts its effect on SARS-CoV-2 by interference with the entry of the virus into the host cell (via spike/ACE-2) as well as inhibiting the 3C-like protease, which is responsible for functional protein maturation. Our computational results also showed the effect of montelukast on the alpha, beta, and delta variants, and its effect on alpha and beta variants was also confirmed by pseudovirus neutralization assays. Thus, in the current study, our integrated in silico and combined in vitro experiments show the effect of montelukast on SARS-CoV-2.",34678509
Quinacrine,DB01103,237,PA21B,Plasmodium infection; Giardia infection,,,V-ATPase,Atheter-related bloodstream infections,Filamentation assays; Vacuolar morphology and fluorescence imaging,,Filamentation assays; Vacuolar morphology; Fluorescence imaging,,,"These experiments indicate that QNC is active against C. albicansgrowth in a pH-dependent manner. Although QNC activity is not biofilm specific, QNC is effective in the prevention and treatment of biofilms. QNC antibiofilm activity likely occurs via several independent mechanisms: vacuolar alkalinization, inhibition of endocytosis, and impaired filamentation",25288082
Rosiglitazone,DB00412,77999,PPAR-?3,Diabete,,,STAT1,Human adenoviruses (HAdVs,RNA Extraction cDNA Library Preparation and Sequencing; Cytopathic effect (CPE) inhibition assays; Viral plaque reduction assay; Quantitative PCR of viral DNA; Western blot,,CPE inhibition assays; Viral plaque reduction assay; RT-qPCR; Western blot,Mouse modeling,,The above reports of rosiglitazone's antiviral activity suggest that rosiglitazone inhibits virus infections via inhibition of inflammatory cell responses or promotion of immune cell differentiation.,32353383
Enviroxime,,5748733,Rhinovirus 3C protease,Virus infection,,,CVB,Type I diabetes,Ten drugs with different antiviral mechanisms were analysed for their efficacy against prototype strains of type B coxsackieviruses in A549 cells. Cell viability was quantified in fixed cells using a colorimetric assay. Median effective dose was interpolated from the triplicated experiments and the dosea€¡°response curves were generated for each druga€¡°virus combination. Drug cytotoxicity was similarly quantified and selectivity indices calculated.,,Colorimetric assay,,,"Hizentra, enviroxime, pleconaril, ribavirin, and favipiravir are effective against type B coxsackieviruses in vitro in their therapeutic serum concentrations. These antiviral drugs are therefore attractive candidates for type 1 diabetes prevention/treatment trials. They can also be used in other clinical conditions caused by type B coxsackieviruses.",31705692
Pleconaril,DB05105,1684,CAPSD,Virus infection,,,CVB,Type I diabetes,Ten drugs with different antiviral mechanisms were analysed for their efficacy against prototype strains of type B coxsackieviruses in A549 cells. Cell viability was quantified in fixed cells using a colorimetric assay. Median effective dose was interpolated from the triplicated experiments and the dosea€¡°response curves were generated for each druga€¡°virus combination. Drug cytotoxicity was similarly quantified and selectivity indices calculated.,,Colorimetric assay,,,"Hizentra, enviroxime, pleconaril, ribavirin, and favipiravir are effective against type B coxsackieviruses in vitro in their therapeutic serum concentrations. These antiviral drugs are therefore attractive candidates for type 1 diabetes prevention/treatment trials. They can also be used in other clinical conditions caused by type B coxsackieviruses.",31705692
Ribavirin,DB00811,37542,IMDH1,Hepatitis C virus infection,,,CVB,Type I diabetes,Ten drugs with different antiviral mechanisms were analysed for their efficacy against prototype strains of type B coxsackieviruses in A549 cells. Cell viability was quantified in fixed cells using a colorimetric assay. Median effective dose was interpolated from the triplicated experiments and the dosea€¡°response curves were generated for each druga€¡°virus combination. Drug cytotoxicity was similarly quantified and selectivity indices calculated.,,Colorimetric assay,,,"Hizentra, enviroxime, pleconaril, ribavirin, and favipiravir are effective against type B coxsackieviruses in vitro in their therapeutic serum concentrations. These antiviral drugs are therefore attractive candidates for type 1 diabetes prevention/treatment trials. They can also be used in other clinical conditions caused by type B coxsackieviruses.",31705692
Favipiravir,DB12466,492405,RPOA; RPOB; RPOC; RPOZ,Influenza virus infection,,,CVB,Type I diabetes,Ten drugs with different antiviral mechanisms were analysed for their efficacy against prototype strains of type B coxsackieviruses in A549 cells. Cell viability was quantified in fixed cells using a colorimetric assay. Median effective dose was interpolated from the triplicated experiments and the dosea€¡°response curves were generated for each druga€¡°virus combination. Drug cytotoxicity was similarly quantified and selectivity indices calculated.,,Colorimetric assay,,,"Hizentra, enviroxime, pleconaril, ribavirin, and favipiravir are effective against type B coxsackieviruses in vitro in their therapeutic serum concentrations. These antiviral drugs are therefore attractive candidates for type 1 diabetes prevention/treatment trials. They can also be used in other clinical conditions caused by type B coxsackieviruses.",31705692
Niclosamide,DB06803,4477,ATP synthase,Cestodes infection,,,STZ,Diabetesa€?induced endothelial dysfunction,Vascular Reactivity Studies; Western Blotting,,Vascular reactivity; Western Blot,,,"In the present study, we demonstrated for the first time that Nic improves diabetes-induced endothelial dysfunction and the possible mechanism of this effect might be partly attributed to the activation of NO/cGMP signaling in rat thoracic aorta.",33772737
Nitazoxanide,DB00507,41684,PNO,Cryptosporidiosis; Giardiasis; Diarrhea,,,TLR7; type I interferons; IL18; IL-1?2,Newcastle disease virus,Cytotoxicity assay; Virus titration and infection; Dose-dependent response of NTZ; Cytokine profiling,,Cytotoxicity assay; Virus titration and infection; Dose-dependent response of NTZ; Cytokine profiling,,,Encouraging results from the present study warrants repurposing NTZ as a drug for the treatment of viral infection in poultry. It will also pave the way towards understanding of similar effect against other animal pathogens.,32403005
Riociguat,DB08931,11304743,GUC2D,Pulmonary arterial hypertension,,,TRPC6,Podocyte Injury,RNA Isolation and Quantitative PCR Analysis; Nitric Oxide Detection; cGMP ELISA; Immunohistochemistry; Western Blot Analyses; ntracellular Ca2+ Measurements by Fura-2 Ratiometry,,RNA sequencing; RT-qPCR; Nitric oxide detection; ELISA; Immunohistochemistry; Western blot; Ntracellular Ca2+ Measurements by Fura-2 Ratiometry,,,"NO and Riociguat stimulated cGMP synthesis in podocytes, decreased Adriamycin-induced TRPC6 expression, inhibited the Adriamycin-induced TRPC6-mediated Ca2+ influx and reduced podocyte injury.",34830371
Propranolol,DB00571,4946,ADRB1,Migraine,,,T cells,Colorectal cancer,Mouse tumor models; Extraction of immune cells; Isolation and culture of spleen T cells; Flow cytometry and fluorescently antibodies; Histological analysis immunohistochemistry and TUNEL staining; RNA-seq profiling and analysis; Single-cell RNA-seq analysis,,Extraction of immune cells; Isolation and culture of spleen T cells; Flow cytometry and fluorescently antibodies; Histological analysis immunohistochemistry and TUNEL staining; RNA sequencing,Mouse modeling,,"We discovered that propranolol (Prop), a non-selective ?21 and ?22 adrenergic receptor blocker, significantly inhibited the development of subcutaneous CT26 CRC and AOM/DSS-induced CRC models.",37054937
Lithium chloride,DB16607,433294,GSK3A,Bipolar disorder; Methhemeglobinemia,,,GSKIII,Neurological deficits associated with OP exposure,Live Imaging and Analysis; Cell Lysates; Immunoblotting and Analysis,,Live imaging and analysis; Cell lysates; Immunoblotting,,,"The results indicated that both LiCl and MB prevented DFP-induced impairments in anterograde and retrograde axonal transport velocities in a concentration dependent manner. While in vivo studies will be required to confirm our in vitro findings, these experiments support the potential of LiCl and MB as repurposed drugs for the treatment of the long-term neurological deficits associated with OP exposure (currently an unmet medical need).",31962143
Methylene blue,DB09241,6099,methemoglobin,Bipolar disorder; Methhemeglobinemia; Acquired methemoglobinemia,,,GSKIII,Neurological deficits associated with OP exposure,Live Imaging and Analysis; Cell Lysates; Immunoblotting and Analysis,,Live imaging and analysis; Cell lysates; Immunoblotting,,,"The results indicated that both LiCl and MB prevented DFP-induced impairments in anterograde and retrograde axonal transport velocities in a concentration dependent manner. While in vivo studies will be required to confirm our in vitro findings, these experiments support the potential of LiCl and MB as repurposed drugs for the treatment of the long-term neurological deficits associated with OP exposure (currently an unmet medical need).",31962143
Siramesine,DB06555,9829526,ADA1A; ADA1B; ADA1D,Depression; Anxiety,,,sigma-1 receptor and Erg2,Fungal infections,Minimum Biofilm Eradication Assay; Modulation of Ergosterol Biosynthesis; Molecular Docking,Molecular docking,Minimum biofilm eradication assay; Modulation of ergosterol biosynthesis,,,"The results showed susceptibility of Candida species to siramesine with MIC at concentration 12.5 ??g/mL, whereas other candidates had no antifungal activity. Siramesine was also effective against in vitro biofilm formation and already formed biofilm was reduced following 24 h treatment with a MBEC range of 50a€¡°62.5 ??g/mL. Siramesine is involved in modulation of ergosterol biosynthesis in vitro, which indicates it is a potential target for its antifungal activity.",34201401
Dihydroergotamine,DB00320,10531,DRD2,Headaches; Migraine,,,TGF?2R2,Liver fibrosis,Food and Drug Administration-approved drugs were screened for binding affinity with TGF?2R2 by virtual molecular docking. We identified 6 candidates and further explored their potential by Cell Counting Kit-8 (CCK-8) cell cytotoxic experiment to validate toxicity and titrated the best cellular working concentrations. Next we further demonstrated the detailed molecular working mechanisms using mutagenesis analysis. Finally we used a mouse model to investigate its potential anti-liver fibrosis effect.,Molecular docking,Cell cytotoxic experiment,Mouse modeling,,"Dihydroergotamine (DHE) shows great ability in reducing fibrotic gene expressions such as collagen, p-SMAD3, and ?¡À-SMA in TGF?2 induced cellular model of liver fibrosis in LX-2 cells.",37346154
Bromhexine,DB09019,2442,Mucin,Sjogren syndrome,,,mNav1.6; mNav1.7; mNav1.9; and hNav1.7-hNav1.9.,Antiallodynic agent,Oxaliplatin (a single intraperitoneal dose of 10 mg/kg) induced tactile allodynia and cold hyperalgesia in CD-1 mice and the effectiveness of single-dose or repeated-dose bromhexine and ambroxol to attenuate pain hypersensitivity was assessed in von Frey and cold plate tests. Additionally Veber analysis and molecular docking experiments of bromhexine on mouse (m) and human (h) Nav1.6-1.9 were carried out.,Molecular docking,Von Frey and cold plate tests; Veber analysis,,,The conversion of bromhexine to other than ambroxol active metabolites should be considered when interpreting some of its in vivo effects. Nav-blocking properties of bromhexine (and previously also predicted for ambroxol) might underlie its ability to attenuate pain caused by oxaliplatin.,32651960
Bazedoxifene,DB06401,154257,ESR1,Osteopetrosis,,,GP130,Persistent HPV (Human Papillomavirus) infection,Cell Proliferation Assay; Wound Healing Migration Assay; Matrigel Invasion Assay; Colony Formation; Western Blot; Annexin V and Propidium Iodide (PI) Staining for Apoptosis Assay; Xenograft in Mouse,,Cell proliferation assay; Wound healing migration assay; Matrigel invasion assay; Colony formation; Western blot; Annexin V and Propidium Iodide (PI) Staining for Apoptosis Assay,Mouse xenograft,,"Our research demonstrates that lncRNA SRA can act as an inhibitor of HPV-positive cervical cancer cell progression. In this study, we investigated the anticancer properties of Bazedoxifene in HPV-positive cervical cancer cells and confirmed that Bazedoxifene inhibits the GP130/STAT3 pathway and suppresses the EMT sub-signal. Our research can provide a basis for cervical cancer replacement therapy.",34445405
